City,StateID,lat,lng,density,id
New York,NY,40.6943,-73.9249,11080.3,1840034016
Los Angeles,CA,34.1141,-118.4068,3184.7,1840020491
Chicago,IL,41.8375,-87.6866,4614.5,1840000494
Miami,FL,25.784,-80.2101,4758.9,1840015149
Houston,TX,29.786,-95.3885,1384,1840020925
Dallas,TX,32.7935,-96.7667,1478.7,1840019440
Philadelphia,PA,40.0077,-75.1339,4578.4,1840000673
Atlanta,GA,33.7628,-84.422,1412.3,1840013660
Washington,DC,38.9047,-77.0163,4235.7,1840006060
Boston,MA,42.3188,-71.0852,5319,1840000455
Phoenix,AZ,33.5722,-112.0892,1198.9,1840020568
Detroit,MI,42.3834,-83.1024,1772.2,1840003971
Seattle,WA,47.6211,-122.3244,3376.6,1840021117
San Francisco,CA,37.7558,-122.4449,7030.7,1840021543
San Diego,CA,32.8313,-117.1222,1639.7,1840021990
Minneapolis,MN,44.9635,-93.2678,3052.2,1840007830
Tampa,FL,27.9945,-82.4447,1320.9,1840015982
Brooklyn,NY,40.6501,-73.9496,15200.5,1840034030
Denver,CO,39.762,-104.8758,1792.9,1840018789
Queens,NY,40.7498,-73.7976,8503.7,1840034002
Riverside,CA,33.9381,-117.3949,1503.9,1840020551
Las Vegas,NV,36.2333,-115.2654,1755.1,1840020364
Baltimore,MD,39.3051,-76.6144,2788.2,1840001592
St. Louis,MO,38.6359,-90.2451,1864.3,1840001651
Portland,OR,45.5371,-122.65,1868.8,1840019941
San Antonio,TX,29.4632,-98.5238,1118.8,1840022220
Sacramento,CA,38.5677,-121.4685,2049.4,1840021491
Austin,TX,30.3005,-97.7522,1154.1,1840019590
Orlando,FL,28.4773,-81.337,1070.2,1840015099
San Juan,PR,18.3985,-66.061,3128.8,1630035577
San Jose,CA,37.3012,-121.848,2172.6,1840021570
Pittsburgh,PA,40.4397,-79.9763,2118.5,1840001254
Indianapolis,IN,39.7771,-86.1458,941.8,1840030084
Manhattan,NY,40.7834,-73.9662,28653.9,1840034000
Cincinnati,OH,39.1413,-84.506,1530.6,1840003814
Kansas City,MO,39.1238,-94.5541,620.7,1840008535
Cleveland,OH,41.4764,-81.6805,1839.6,1840000596
Columbus,OH,39.9862,-82.9855,1581,1840003760
Bronx,NY,40.8501,-73.8662,13356.3,1840033999
Virginia Beach,VA,36.7335,-76.0435,722.4,1840003871
Charlotte,NC,35.2083,-80.8303,1089.8,1840014557
Milwaukee,WI,43.0642,-87.9675,2301.6,1840003046
Providence,RI,41.823,-71.4187,3979.7,1840003289
Jacksonville,FL,30.3322,-81.6749,491,1840015031
Nashville,TN,36.1715,-86.7842,555.4,1840036155
Salt Lake City,UT,40.7776,-111.9311,700.8,1840021383
Raleigh,NC,35.8324,-78.6429,1210,1840014497
Richmond,VA,37.5295,-77.4756,1463.7,1840001698
Memphis,TN,35.1087,-89.9663,824.8,1840015457
Oklahoma City,OK,35.4676,-97.5136,433.6,1840020428
Hartford,CT,41.7661,-72.6834,2689.4,1840004773
Louisville,KY,38.1663,-85.6485,923.1,1840030815
Buffalo,NY,42.9018,-78.8487,2645.7,1840000386
New Orleans,LA,30.0687,-89.9288,866.5,1840001839
Fort Worth,TX,32.7817,-97.3474,1021.2,1840020696
Bridgeport,CT,41.1918,-73.1954,3568.4,1840004836
Tucson,AZ,32.1541,-110.8787,863.9,1840022101
El Paso,TX,31.8476,-106.43,1011.4,1840023252
Omaha,NE,41.2627,-96.0529,1323.9,1840009315
McAllen,TX,26.2252,-98.2467,884.4,1840021024
Birmingham,AL,33.5279,-86.7971,526.4,1840006507
Albuquerque,NM,35.1054,-106.6465,1159.8,1840019176
Tulsa,OK,36.1283,-95.9042,804.2,1840021672
Fresno,CA,36.783,-119.7939,1805.3,1840020319
Charleston,SC,32.8168,-79.9687,503.3,1840015163
Rochester,NY,43.168,-77.6162,2278,1840000373
Dayton,OH,39.7805,-84.2003,950,1840034249
Cape Coral,FL,26.6443,-81.9957,724.2,1840015130
Mission Viejo,CA,33.6096,-117.6551,2038.4,1840020580
Colorado Springs,CO,38.8674,-104.7605,917.5,1840018825
Baton Rouge,LA,30.442,-91.1311,1001.4,1840013941
Allentown,PA,40.5961,-75.4756,2754.2,1840001044
Ogden,UT,41.2279,-111.9682,1215.9,1840020135
Provo,UT,40.2457,-111.6457,1059.2,1840020174
Knoxville,TN,35.9692,-83.9496,750.3,1840014486
Grand Rapids,MI,42.9619,-85.6562,1708.2,1840002928
Columbia,SC,34.0378,-80.9036,383.1,1840014730
Albany,NY,42.6664,-73.7987,1798.3,1840000417
Bakersfield,CA,35.3529,-119.0359,1038.8,1840019148
New Haven,CT,41.3113,-72.9246,2804.1,1840004850
Des Moines,IA,41.5725,-93.6105,933.4,1840007069
Akron,OH,41.0798,-81.5219,1186.2,1840000791
Palm Bay,FL,27.9631,-80.6593,542.9,1840015094
Concord,CA,37.9722,-122.0016,1579.4,1840018905
Wichita,KS,37.6895,-97.3443,938.6,1840001686
Mesa,AZ,33.4015,-111.7178,1379.8,1840020566
Harrisburg,PA,40.2752,-76.8843,2380.4,1840001288
Staten Island,NY,40.5834,-74.1496,3286.2,1840034032
Toledo,OH,41.6638,-83.5827,1295,1840000572
